person_cluster,area_name,mentions,poems
Jesus / Christ,Kittilä,3,2
Jesus / Christ,Kiukainen,2,1
Jesus / Christ,Kiuruvesi,10,5
Jesus / Christ,Kivennapa,2,2
Jesus / Christ,Kivijärvi,7,7
Jesus / Christ,Kodavere,8,4
Jesus / Christ,Koeru,8,5
Jesus / Christ,Koivisto,6,3
Jesus / Christ,Kolari,3,3
Jesus / Christ,Kolga-Jaani,4,2
Jesus / Christ,Kontiolahti,4,3
Jesus / Christ,Kontokki,3,3
Jesus / Christ,Koprina,12,8
Jesus / Christ,Korpilahti,13,12
Jesus / Christ,Korpilompolo,2,2
Jesus / Christ,Korpiselkä,40,22
Jesus / Christ,Kortesjärvi,1,1
Jesus / Christ,Koski Hl.,4,2
Jesus / Christ,Koski Tl.,3,2
