person_cluster,person_category,same_person_confidence,mentions,poems,counties,distinct_standard_lemmas,distinct_local_lemmas,distinct_word_normalised_forms,standard_lemma_counts,local_lemma_counts,word_normalised_counts,english_gloss_counts,county_counts,poems_with_multiple_standard_lemmas_in_cluster,example_multi_standard_poem_ids,same_person_note
Kuisma & paise,unmapped_possible_person_name,low,1,1,1,1,1,1,Kuisma & paise (1),Kuisma & paise (1),Kuisman paiseilla (1),with Kuisma's sores (1),Etelä-Karjala (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kuitar,unmapped_possible_person_name,low,1,1,1,1,1,1,Kuitar (1),Kuitar (1),Kuitar (1),Kuitar (1),Laatokan Karjala (Raja-Karjala) (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kuivastu,unmapped_possible_person_name,low,1,1,1,1,1,1,Kuivastu (1),Kuivastu (1),Kuivastu (1),Kuivastu (1),Saaremaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kukki,unmapped_possible_person_name,low,1,1,1,1,1,1,Kukki (1),Kukki (1),Kukki (1),Kukki (1),Itä- ja Pohjois-Inkeri (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kukkonen,unmapped_possible_person_name,low,1,1,1,1,1,1,Kukkonen (1),Kukkosen (1),Kukkoselle (1),to Kukkosen (1),Pohjois-Karjala (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kukkus,unmapped_possible_person_name,low,1,1,1,1,1,1,Kukkus (1),Kukkus (1),Kukkusissa (1),in Kukkus (1),Länsi-Inkeri (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kukkusi,unmapped_possible_person_name,low,1,1,1,1,1,1,Kukkusi (1),Kukkusi (1),Kukkusiista (1),Kukkusiista (1),Länsi-Inkeri (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kuksema,unmapped_possible_person_name,low,1,1,1,1,1,1,Kuksema (1),Kuksema (1),Kuksema (1),Kuksema (1),Järvamaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kuksemäe,unmapped_possible_person_name,low,1,1,1,1,1,1,Kuksemäe (1),Kuksemäe (1),Kuksemäe (1),Kuksemäe (1),Järvamaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kulgu,unmapped_possible_person_name,low,1,1,1,1,1,1,Kulgu (1),Kulgu (1),Kulgu (1),Kulgu (1),Virumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kuli,unmapped_possible_person_name,low,1,1,1,1,1,1,Kuli (1),Kuli (1),Kuli (1),Kuli (1),Itä- ja Pohjois-Inkeri (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kuliste,unmapped_possible_person_name,low,1,1,1,1,1,1,Kuliste (1),Kuliste (1),Kuliste (1),Kuliste (1),Saaremaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kullas,unmapped_possible_person_name,low,1,1,1,1,1,1,Kullas (1),Kulla+lla (1),Kullalla (1),with Kullas (1),Pohjois-Pohjanmaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kullervoiden,unmapped_possible_person_name,low,1,1,1,1,1,1,Kullervoiden (1),Kullervoiten (1),Kullervoiten (1),Kullervo's (1),Viena (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kullespere,unmapped_possible_person_name,low,1,1,1,1,1,1,Kullespere (1),Kullespere (1),Kullespere (1),Kulles-family (1),Virumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kunda,unmapped_possible_person_name,low,1,1,1,1,1,1,Kunda (1),Kunda (1),Kunda (1),Kunda (1),Virumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kundaeie,unmapped_possible_person_name,low,1,1,1,1,1,1,Kundaeie (1),Kundaeie (1),Kundaeie (1),Kundaeie (1),Tartumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kundas,unmapped_possible_person_name,low,1,1,1,1,1,1,Kundas (1),Kundas (1),Kundas (1),Kundas (1),Virumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kunna,unmapped_possible_person_name,low,1,1,1,1,1,1,Kunna (1),Kunnu (1),Kunnun (1),Kunna's (1),Länsi-Inkeri (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kunnervo,unmapped_possible_person_name,low,1,1,1,1,1,1,Kunnervo (1),Kunnervo (1),Kunnervo (1),Kunnervo (1),Laatokan Karjala (Raja-Karjala) (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kunnola,unmapped_possible_person_name,low,1,1,1,1,1,1,Kunnola (1),Kunnola (1),Kunnolan (1),of Kunnola (1),Laatokan Karjala (Raja-Karjala) (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kuntsu,unmapped_possible_person_name,low,1,1,1,1,1,1,Kuntsu (1),Kuntsu (1),Kuntsu (1),Kuntsu (1),Pärnumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kuobio,unmapped_possible_person_name,low,1,1,1,1,1,1,Kuobio (1),Kuobio (1),Kuobioon (1),to Kuobioh (place) (1),Aunus (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kuoppala,unmapped_possible_person_name,low,1,1,1,1,1,1,Kuoppala (1),kuoppalan (1),Kuoppalan (1),Kuoppala's (1),Etelä-Karjala (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kuoritsa,unmapped_possible_person_name,low,1,1,1,1,1,1,Kuoritsa (1),Kuoritsa (1),Kuoritsasta (1),from Kuoritsa (1),Keski-Inkeri (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kupittaa,unmapped_possible_person_name,low,1,1,1,1,1,1,Kupittaa (1),Kupittaa (1),Kupittaalta (1),Kupittaa (1),Häme (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kupjas,unmapped_possible_person_name,low,1,1,1,1,1,1,Kupjas (1),Kupjil (1),Kupjil (1),Kupjil's (1),Viljandimaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kuppa,unmapped_possible_person_name,low,1,1,1,1,1,1,Kuppa (1),Kuppa (1),Kuppan (1),Kuppan (1),Peräpohjola (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kuppari-Kirsti,unmapped_possible_person_name,low,1,1,1,1,1,1,Kuppari-Kirsti (1),Kuppari-Kirsti (1),Kuppari-Kirsti (1),cooper-Kirsti (1),Häme (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kuppu-Kaisa,unmapped_possible_person_name,low,1,1,1,1,1,1,Kuppu-Kaisa (1),Kuppu-Kaisa (1),Kuppu-Kaisaa (1),Kuppu-Kaisa's (1),Pohjois-Savo (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kuptsa,unmapped_possible_person_name,low,1,1,1,1,1,1,Kuptsa (1),Kuptsa (1),Kuptsan (1),Kuptsa's (1),Viena (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kuptsajouni,unmapped_possible_person_name,low,1,1,1,1,1,1,Kuptsajouni (1),Kuptsajouni (1),Kuptsajouni (1),Kuptsa's Jouni (1),Viena (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kupu,unmapped_possible_person_name,low,1,1,1,1,1,1,Kupu (1),Kupu (1),Kupu (1),Kupu (1),Kainuu (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
