unified_name,county,broad_region,mentions,poems,distinct_standard_lemmas,distinct_local_lemmas,top_standard_lemmas,top_local_lemmas
John / Jaan / Jussi / Hans,Keski-Inkeri,Ingria,23,11,5,7,Jussi (11); Juhana (5); Iivana (3); Hannu (3); Johannes (1),Jussi (9); Iivana (4); Juhana (4); Hannoi (3); Jusso (1); Juss (1); Johannan (1)
John / Jaan / Jussi / Hans,välismaa,Other/unclear,20,13,4,7,Jaan (10); Hans (6); Ants (3); jaan (1),Jaan (8); Hans (3); Ants (3); Jaani (2); hans (2); jaanikene (1); Hantsu (1)
John / Jaan / Jussi / Hans,Itä- ja Pohjois-Inkeri,Ingria,20,13,7,6,Jussi (9); Hannus (6); Juhana (1); Juhani (1); Jussi+si (1); Iivana (1); (proper) (1),Jussi (10); Hannus (6); Juhana (1); Juhani (1); Jussi+si (1); Iivana (1)
John / Jaan / Jussi / Hans,Laatokan Karjala (Raja-Karjala),East Karelia/Veps/Tver,18,15,5,5,Jussi (13); Jukka (2); Juhana (1); Iivana (1); Johannes (1),Jussi (13); Juakko (2); Juhana (1); Iivana (1); Johannes (1)
John / Jaan / Jussi / Hans,Setumaa,South Estonia/Seto,17,11,6,8,Jaan (10); Juhan (2); Ants (2); jaan (1); jaanil (1); Jaanikene (1),Jaan (6); jaan (3); jaani (2); Ants (2); jaanil (1); jaanikenõ (1); Juhanikõnõ (1); Ivvan (1)
John / Jaan / Jussi / Hans,Kainuu,Finland/Savo-Karelia,16,12,3,4,Jussi (14); Johannes (1); Juhani (1),Jussi (12); jussi (2); Johannes (1); Juhani (1)
John / Jaan / Jussi / Hans,Peräpohjola,Finland/Savo-Karelia,16,15,3,3,Jussi (13); juhannes (2); Junnu (1),Jussi (13); juhannes (2); Junnu (1)
John / Jaan / Jussi / Hans,Viena,East Karelia/Veps/Tver,15,5,2,2,Jussi (13); Iivana (2),Jussi (13); Iivana (2)
John / Jaan / Jussi / Hans,Pohjois-Pohjanmaa,Finland/Savo-Karelia,14,11,2,2,Jussi (13); Joppi (1),Jussi (13); Joppi (1)
John / Jaan / Jussi / Hans,Länsi-Inkeri,Ingria,14,10,3,6,Iivana (11); Juhana (2); Juhani (1),Iivana (7); Iivaana (3); Jaani (1); Juhana (1); J:lan (1); Ivaana (1)
John / Jaan / Jussi / Hans,Valgamaa,South Estonia/Seto,7,3,2,4,Jaan (6); Ants (1),Jaan (2); jaani (2); jaanil (2); Ants (1)
John / Jaan / Jussi / Hans,Aunus,East Karelia/Veps/Tver,3,2,2,2,Iivana (2); jää+n (1),Iivana (2); jää+n (1)
John / Jaan / Jussi / Hans,Länsipohja,Finland/Savo-Karelia,3,2,2,2,juhannes (2); Jussi (1),juhannes (2); Jussi (1)
John / Jaan / Jussi / Hans,Metsäsuomalaisten alue,Finland/Savo-Karelia,1,1,1,1,Juho (1),Juho (1)
Peter / Pietari / Peeter,Pohjois-Karjala,Finland/Savo-Karelia,203,136,7,16,Pietari (122); Pekka (74); pekka (2); Petteri (2); Pekka/pekko (1); Pietarin (1); Petri (1),Pietari (96); Pekka (72); Pietar (12); pekka (5); Piiteri (3); Petteri (2); petran (2); Pietari+n (2)
Peter / Pietari / Peeter,Laatokan Karjala (Raja-Karjala),East Karelia/Veps/Tver,174,83,8,26,Pietari (139); Pekka (15); Petri (14); Pedri (2); pekka (1); Petrus (1); Petteri (1); Pietarista (1),Pietari (86); Petri (17); Pedri (16); Pekka (11); Pietar (6); piedari (6); pekka (4); Petru (4)
Peter / Pietari / Peeter,Pohjois-Savo,Finland/Savo-Karelia,107,95,4,9,Pekka (71); Pietari (34); Petteri (1); pekka (1),Pekka (71); Pietari (29); Pietäri+n (1); Petter (1); Petteri (1); pekka (1); pietarin (1); pietar (1)
Peter / Pietari / Peeter,Viljandimaa,Estonia core/west,107,58,2,16,Peeter (100); Peetrus (7),Peeter (56); Piiter (12); peeter (11); Peetrus (4); Pieter (4); Peet (4); peetri (3); Piitrus (3)
Peter / Pietari / Peeter,Etelä-Savo,Finland/Savo-Karelia,106,82,5,16,Pekka (54); Pietari (48); pekka (2); Pietarin (1); Petteri (1),Pekka (50); Pietari (35); pietari (3); Pekko (3); pietar (2); pekka (2); Pjetar (2); pietarin (1)
Peter / Pietari / Peeter,Länsi-Inkeri,Ingria,87,61,6,25,Pietari (50); Petteri (27); Pietarin (5); Pekka (3); Petro (1); Petterille (1),Petteri (23); Pietari (17); Petro (11); Pedro (6); petterissä (3); Peio (3); Pedru (2); petterii (2)
