person_cluster,variant_casefold_standard_lemma,broad_region,mentions,share_within_group,share_within_variant
Catherine / Kadri / Katri,Kaisa,Other/unclear,3,0.0013831258644536654,0.012195121951219513
Catherine / Kadri / Katri,Kati,Estonia core/west,2,0.0009220839096357768,0.019230769230769232
Catherine / Kadri / Katri,Kati,South Estonia/Seto,4,0.0018441678192715537,0.038461538461538464
Catherine / Kadri / Katri,Kati,Finland/Savo-Karelia,8,0.0036883356385431073,0.07692307692307693
Catherine / Kadri / Katri,Kati,Ingria,87,0.040110650069156296,0.8365384615384616
Catherine / Kadri / Katri,Kati,East Karelia/Veps/Tver,1,0.0004610419548178884,0.009615384615384616
Catherine / Kadri / Katri,Kati,Other/unclear,2,0.0009220839096357768,0.019230769230769232
Catherine / Kadri / Katri,Katariina/Katriina,Estonia core/west,5,0.002305209774089442,0.09259259259259259
Catherine / Kadri / Katri,Katariina/Katriina,South Estonia/Seto,2,0.0009220839096357768,0.037037037037037035
Catherine / Kadri / Katri,Katariina/Katriina,Finland/Savo-Karelia,17,0.007837713231904103,0.3148148148148148
Catherine / Kadri / Katri,Katariina/Katriina,Ingria,25,0.011526048870447211,0.46296296296296297
Catherine / Kadri / Katri,Katariina/Katriina,East Karelia/Veps/Tver,5,0.002305209774089442,0.09259259259259259
Catherine / Kadri / Katri,Katariina/Katriina,Other/unclear,0,0.0,0.0
Catherine / Kadri / Katri,Other,Estonia core/west,119,0.05486399262332872,0.4817813765182186
Catherine / Kadri / Katri,Other,South Estonia/Seto,101,0.04656523743660673,0.4089068825910931
Catherine / Kadri / Katri,Other,Finland/Savo-Karelia,8,0.0036883356385431073,0.032388663967611336
Catherine / Kadri / Katri,Other,Ingria,12,0.005532503457814661,0.048582995951417005
Catherine / Kadri / Katri,Other,East Karelia/Veps/Tver,6,0.0027662517289073307,0.024291497975708502
Catherine / Kadri / Katri,Other,Other/unclear,1,0.0004610419548178884,0.004048582995951417
Anna / Anne / Ann / Anni,Anne,Estonia core/west,949,0.41935483870967744,0.9125
Anna / Anne / Ann / Anni,Anne,South Estonia/Seto,65,0.028722934158197082,0.0625
Anna / Anne / Ann / Anni,Anne,Finland/Savo-Karelia,2,0.0008837825894829872,0.0019230769230769232
Anna / Anne / Ann / Anni,Anne,Ingria,0,0.0,0.0
Anna / Anne / Ann / Anni,Anne,East Karelia/Veps/Tver,0,0.0,0.0
Anna / Anne / Ann / Anni,Anne,Other/unclear,24,0.010605391073795847,0.023076923076923078
Anna / Anne / Ann / Anni,Anni,Estonia core/west,20,0.008837825894829872,0.037037037037037035
Anna / Anne / Ann / Anni,Anni,South Estonia/Seto,4,0.0017675651789659744,0.007407407407407408
Anna / Anne / Ann / Anni,Anni,Finland/Savo-Karelia,202,0.08926204153778171,0.37407407407407406
Anna / Anne / Ann / Anni,Anni,Ingria,158,0.06981882456915599,0.29259259259259257
Anna / Anne / Ann / Anni,Anni,East Karelia/Veps/Tver,153,0.06760936809544851,0.2833333333333333
Anna / Anne / Ann / Anni,Anni,Other/unclear,3,0.0013256738842244808,0.005555555555555556
Anna / Anne / Ann / Anni,Ann,Estonia core/west,394,0.17410517012814847,0.8678414096916299
Anna / Anne / Ann / Anni,Ann,South Estonia/Seto,41,0.018117543084401236,0.09030837004405286
Anna / Anne / Ann / Anni,Ann,Finland/Savo-Karelia,0,0.0,0.0
