person_cluster,person_category,same_person_confidence,standard_lemma,local_lemma,word_normalised,root,word_in_english,mentions,poems,counties,county_counts,place_counts
Anna / Anne / Ann / Anni,given_name_family,medium,Anne,Anne,Anne,Proper noun,Anne,3,1,1,Viljandimaa (3),Helme (3)
Anna / Anne / Ann / Anni,given_name_family,medium,Anne,Anne,Anned,Anne,Anned,3,2,2,Läänemaa (2); Harjumaa (1),Keila (1); Karuse (1); Varbla (1)
Anna / Anne / Ann / Anni,given_name_family,medium,Anne,Anne,Annel,Anne,at Anne,3,3,3,Järvamaa (1); Viljandimaa (1); Tartumaa (1),Ambla (1); Helme (1); Maarja-Magdaleena (1)
Anna / Anne / Ann / Anni,given_name_family,medium,Anne,Anne,Annele,proper name,to Anne,3,2,2,Võrumaa (1); Setumaa (1),Võrumaa (1); Setumaa (1)
Anna / Anne / Ann / Anni,given_name_family,medium,Anne,Annekene,Annekene,Anne + -kene,Anne,3,1,0,,
Anna / Anne / Ann / Anni,given_name_family,medium,Annekene,Annekene,Annekene,Anna,little Ann,3,1,1,Pärnumaa (3),Audru (3)
Anna / Anne / Ann / Anni,given_name_family,medium,Anni,Anni,Anni,*Anna,Anni,3,2,2,Länsi-Inkeri (2); Laatokan Karjala (Raja-Karjala) (1),Narvusi (2); Korpiselkä (1)
Anna / Anne / Ann / Anni,given_name_family,medium,Anni,Anni,Anni,Anni (proper noun),Anni,3,2,2,Etelä-Karjala (2); Etelä-Savo (1),Etelä-Karjala (2); Heinävesi (1)
Anna / Anne / Ann / Anni,given_name_family,medium,Anni,Anni,Anni,[see above],Anni,3,1,1,Itä- ja Pohjois-Inkeri (3),Vuole (3)
Anna / Anne / Ann / Anni,given_name_family,medium,Anni,Anni,Anniksi,Anni,as Anni,3,3,2,Laatokan Karjala (Raja-Karjala) (2); Aunus (1),Suistamo (2); Tulemajärvi (1)
Anna / Anne / Ann / Anni,given_name_family,medium,Anni,Anni,Annilta,Anna,from Anni,3,2,2,Keski-Inkeri (2); Itä- ja Pohjois-Inkeri (1),Skuoritsa (2); Vuole (1)
Anna / Anne / Ann / Anni,given_name_family,medium,Anni,Anni,Annilta,Anni,from Anni,3,3,3,Etelä-Karjala (1); Länsi-Inkeri (1); Itä- ja Pohjois-Inkeri (1),Kuolemajärvi (1); Narvusi (1); Vuole (1)
Anna / Anne / Ann / Anni,given_name_family,medium,Anni,Anni,Annin,Anna,Anni's,3,2,2,Etelä-Karjala (2); Keski-Inkeri (1),Koivisto (2); Hietamäki (1)
Anna / Anne / Ann / Anni,given_name_family,medium,Anni,Anni,Annin,Anni,Ann's,3,3,3,Etelä-Karjala (1); Itä- ja Pohjois-Inkeri (1); Laatokan Karjala (Raja-Karjala) (1),Lavansaari (1); Itä- ja Pohjois-Inkeri (1); Soanlahti (1)
Anna / Anne / Ann / Anni,given_name_family,medium,Anni,Anni,Annin,Anni (proper name),Anni's,3,3,3,Kainuu (1); Varsinais-Suomi (1); Häme (1),Suomussalmi (1); Uusikaupunki (1); Hattula (1)
