person_cluster,variant_by_standard_lemma,broad_region,mentions,share_within_group,share_within_variant
Anna / Anne / Ann / Anni,Anu,South Estonia/Seto,0,0.0,0.0
Anna / Anne / Ann / Anni,Anu,Finland/Savo-Karelia,0,0.0,0.0
Anna / Anne / Ann / Anni,Anu,Ingria,7,0.0030932390631904553,0.1891891891891892
Anna / Anne / Ann / Anni,Anu,East Karelia/Veps/Tver,4,0.0017675651789659744,0.10810810810810811
Anna / Anne / Ann / Anni,Anu,Other/unclear,1,0.0004418912947414936,0.02702702702702703
Anna / Anne / Ann / Anni,Other,Estonia core/west,366,0.16173221387538667,0.7379032258064516
Anna / Anne / Ann / Anni,Other,South Estonia/Seto,52,0.022978347326557666,0.10483870967741936
Anna / Anne / Ann / Anni,Other,Finland/Savo-Karelia,24,0.010605391073795847,0.04838709677419355
Anna / Anne / Ann / Anni,Other,Ingria,10,0.004418912947414936,0.020161290322580645
Anna / Anne / Ann / Anni,Other,East Karelia/Veps/Tver,37,0.016349977905435263,0.07459677419354839
Anna / Anne / Ann / Anni,Other,Other/unclear,7,0.0030932390631904553,0.014112903225806451
