area_name,macroRegion,langLabel,proper_name_mentions,n_groups,cluster,membership_confidence
Kangaslampi,Finland/Savo-Karelia,Finnish,10,5,1,0.9999980177731724
Kangasniemi,Finland/Savo-Karelia,Finnish,29,8,1,0.9999975829734209
Kankaanpää,Finland/Savo-Karelia,Finnish,11,4,2,0.6352125132312114
Kaprio,Ingria,Finnish,111,9,1,0.9999994585715455
Karja,Estonia core/west,North Estonian,28,4,2,0.9934969855097465
Karksi,Estonia core/west,South Estonian,396,7,2,0.9999999657014881
Karula,South Estonia/Seto,South Estonian,100,6,2,0.9999997148063524
Karuna,Finland/Savo-Karelia,Finnish,10,4,1,0.9999907054997716
Karuse,Estonia core/west,North Estonian,166,6,2,0.999999998969531
Kattila,Ingria,Votic,21,5,1,0.784477675681295
Kauhava,Finland/Savo-Karelia,Finnish,25,6,1,0.9993051029103089
Keila,Estonia core/west,North Estonian,16,5,2,0.9999623746854774
Keltto,Ingria,Finnish,10,5,1,0.972089230315265
Kemi,Finland/Savo-Karelia,Finnish,13,4,1,0.9965330595209294
Kerimäki,Finland/Savo-Karelia,Finnish,22,8,1,0.9999994737832444
Kestilä,Finland/Savo-Karelia,Finnish,13,6,1,0.9998407200543369
Kesälahti,Finland/Savo-Karelia,Finnish,57,6,1,0.9877510341507203
Kiestinki,East Karelia/Veps/Tver,Karelian Proper,27,5,1,0.7102209713803772
Kiihtelysvaara,Finland/Savo-Karelia,Finnish,28,7,1,0.9999533567874046
Kiimaisjärvi,East Karelia/Veps/Tver,Karelian Proper,32,4,1,0.9741994647545708
Kitee,Finland/Savo-Karelia,Finnish,130,8,1,0.9999522207568577
Kittilä,Finland/Savo-Karelia,Finnish,11,4,1,0.9984610130965988
